Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.1726,-0.0011902,0.37074,0,0,0,17.285,0.88736,-9.7406E-10,-0.0042126,0.90938,1.6278E-09,0.076259,0,0,0,0,0,0,package://astra_description/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://astra_description/meshes/base_link.STL,,Astra_Link0-1,BaseCord,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_r1,0.027157,-3.0871E-12,-1.5958E-11,0,0,0,0.70739,0.00060081,6.2989E-14,-1.3373E-13,0.00042262,1.4866E-09,0.0002763,0,0,0,0,0,0,package://astra_description/meshes/link_r1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://astra_description/meshes/link_r1.STL,,Link1^Astra-1,LinkR1Cord,JointR1,joint_r1,prismatic,-0.0405,-0.065,0.227,0,0,-1.5708,base_link,0,0,1,0,0,0,1.2,,,,,,,,
link_r2,0.19797,-0.02415,-2.5183E-11,0,0,0,0.75209,0.0004318,0.00031904,-1.4792E-09,0.0020715,1.806E-10,0.0019227,0,0,0,0,0,0,package://astra_description/meshes/link_r2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://astra_description/meshes/link_r2.STL,,Link2^Astra-1,LinkR2Cord,JointR2,joint_r2,revolute,0.068,0,0,0,0,0.18555,link_r1,0,0,1,0,0,-1.57,1.57,,,,,,,,
link_r3,0.10783,1.63E-05,-0.0023873,0,0,0,0.39722,0.00020574,-1.067E-09,1.0482E-06,0.00075294,2.842E-10,0.00062472,0,0,0,0,0,0,package://astra_description/meshes/link_r3.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://astra_description/meshes/link_r3.STL,,Link3^Astra-1,LinkR3Cord,JointR3,joint_r3,revolute,0.29812,0,0,0,0,1.3852,link_r2,0,0,1,0,0,-1.57,1.57,,,,,,,,
link_r4,7.4339E-05,0.033099,-0.027091,0,0,0,0.087098,3.1196E-05,3.7815E-10,-1.0586E-09,2.6879E-05,-5.5018E-06,1.8673E-05,0,0,0,0,0,0,package://astra_description/meshes/link_r4.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://astra_description/meshes/link_r4.STL,,Link4^Astra-1,LinkR4Cord,JointR4,joint_r4,revolute,0.265,0,-0.087,3.1416,0,0,link_r3,0,0,1,0,0,-3.14,3.14,,,,,,,,
link_r5,0.01097,-0.0063842,-0.0053324,0,0,0,0.076944,1.0865E-05,1.722E-06,-1.6372E-06,2.1382E-05,1.7243E-06,1.8572E-05,0,0,0,0,0,0,package://astra_description/meshes/link_r5.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://astra_description/meshes/link_r5.STL,,Link5^Astra-1,LinkR5Cord,JointR5,joint_r5,revolute,0,0,0,1.5708,-1.5708,0,link_r4,0,0,1,0,0,-1.57,1.57,,,,,,,,
link_r6,0.038451,4.6462E-05,0.063125,0,0,0,0.13935,9.6304E-05,-3.781E-10,-1.7516E-05,7.1049E-05,-1.065E-09,8.241E-05,0,0,0,0,0,0,package://astra_description/meshes/link_r6.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://astra_description/meshes/link_r6.STL,,Link6^Astra-1,LinkR6Cord,JointR6,joint_r6,revolute,0,0,0,1.5708,0,0,link_r5,0,0,1,0,0,-1.57,1.57,,,,,,,,
link_r7r,-0.083182,0.0061024,0.0093037,0,0,0,0.046957,7.5505E-06,2.8052E-06,5.9927E-06,9.4772E-05,-5.5999E-07,8.8929E-05,0,0,0,0,0,0,package://astra_description/meshes/link_r7r.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://astra_description/meshes/link_r7r.STL,,Link7R^Astra-2,LinkR7Cord,JointR7,joint_r7r,prismatic,0.078,0,0.195,1.5708,-1.5708,0,link_r6,0,0,1,0,0,0,0.06,,,,,,,,
link_r7l,-0.087979,0.0061024,-0.0093037,0,0,0,0.046957,7.5505E-06,2.8568E-06,-6.0106E-06,9.56E-05,5.5999E-07,8.9757E-05,0,0,0,0,0,0,package://astra_description/meshes/link_r7l.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://astra_description/meshes/link_r7l.STL,,Link7L^Astra-2,LinkR7Cord,JointR7,joint_r7l,prismatic,0.078,0,0.195,1.5708,-1.5708,0,link_r6,0,0,1,0,0,-0.06,0,,,,,,,,
link_l1,0.027157,-4.3066E-13,-6.6736E-12,0,0,0,0.70739,0.00060081,-4.2708E-15,-1.6897E-15,0.00042262,1.4866E-09,0.0002763,0,0,0,0,0,0,package://astra_description/meshes/link_l1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://astra_description/meshes/link_l1.STL,,Link1^Astra-2,LinkL1Cord,JointL1,joint_l1,prismatic,-0.0405,0.065,0.227,0,0,1.5708,base_link,0,0,1,0,0,0,1.2,,,,,,,,
link_l2,0.19797,0.02415,1.1147E-11,0,0,0,0.75209,0.0004318,-0.00031904,1.4791E-09,0.0020715,1.8051E-10,0.0019227,0,0,0,0,0,0,package://astra_description/meshes/link_l2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://astra_description/meshes/link_l2.STL,,Link2^Astra-2,LinkL2Cord,JointL2,joint_l2,revolute,0.068,0,0,0,0,-0.18555,link_l1,0,0,1,0,0,-1.57,1.57,,,,,,,,
link_l3,0.10783,1.63E-05,-0.0023873,0,0,0,0.39722,0.00020574,-1.067E-09,1.0482E-06,0.00075294,2.844E-10,0.00062472,0,0,0,0,0,0,package://astra_description/meshes/link_l3.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://astra_description/meshes/link_l3.STL,,Link3^Astra-2,LinkL3Cord,JointL3,joint_l3,revolute,0.29812,0,0,0,0,-1.3852,link_l2,0,0,1,0,0,-1.57,1.57,,,,,,,,
link_l4,-7.4339E-05,-0.033099,-0.027091,0,0,0,0.087098,3.1196E-05,3.7816E-10,1.0586E-09,2.6879E-05,5.5018E-06,1.8673E-05,0,0,0,0,0,0,package://astra_description/meshes/link_l4.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://astra_description/meshes/link_l4.STL,,Link4^Astra-2,LinkL4Cord,JointL4,joint_l4,revolute,0.265,0,-0.087,3.1416,0,0,link_l3,0,0,1,0,0,-3.14,3.14,,,,,,,,
link_l5,0.011811,0.0068737,-0.0043391,0,0,0,0.071465,1.0672E-05,-1.722E-06,-1.6393E-06,2.1189E-05,-1.7236E-06,1.856E-05,0,0,0,0,0,0,package://astra_description/meshes/link_l5.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://astra_description/meshes/link_l5.STL,,LinkL5^Astra-1,LinkL5Cord,JointL5,joint_l5,revolute,0,0,0,1.5708,-1.5708,0,link_l4,0,0,1,0,0,-1.57,1.57,,,,,,,,
link_l6,0.038451,4.6462E-05,0.063125,0,0,0,0.13935,9.6304E-05,-3.781E-10,-1.7516E-05,7.1049E-05,-1.065E-09,8.241E-05,0,0,0,0,0,0,package://astra_description/meshes/link_l6.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://astra_description/meshes/link_l6.STL,,Link6^Astra-2,LinkL6Cord,JointL6,joint_l6,revolute,0,0,0,-1.5708,0,0,link_l5,0,0,1,0,0,-1.57,1.57,,,,,,,,
link_l7r,-0.083182,0.0061024,0.0093037,0,0,0,0.046957,7.5505E-06,2.8052E-06,5.9927E-06,9.4772E-05,-5.5999E-07,8.8929E-05,0,0,0,0,0,0,package://astra_description/meshes/link_l7r.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://astra_description/meshes/link_l7r.STL,,Link7R^Astra-3,LinkL7Cord,JointL7,joint_l7r,prismatic,0.078,0,0.195,1.5708,-1.5708,0,link_l6,0,0,1,0,0,0,0.06,,,,,,,,
link_l7l,-0.087979,0.0061024,-0.0093037,0,0,0,0.046957,7.5505E-06,2.8568E-06,-6.0106E-06,9.56E-05,5.5999E-07,8.9757E-05,0,0,0,0,0,0,package://astra_description/meshes/link_l7l.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://astra_description/meshes/link_l7l.STL,,Link7L^Astra-3,LinkL7Cord,JointL7,joint_l7l,prismatic,0.078,0,0.195,1.5708,-1.5708,0,link_l6,0,0,1,0,0,-0.06,0,,,,,,,,
link_head_pan,7.4339E-05,0.033099,-0.027091,0,0,0,0.087098,3.1196E-05,3.7815E-10,-1.0586E-09,2.6879E-05,-5.5018E-06,1.8673E-05,0,0,0,0,0,0,package://astra_description/meshes/link_head_pan.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://astra_description/meshes/link_head_pan.STL,,Link4^Astra-3,Head_Pan_Cord,Joint_Head_Pan,joint_head_pan,revolute,0.05,0,1.429,-3.1416,0,0,base_link,0,0,1,0,0,-1.57,1.57,,,,,,,,
link_head_tilt,-0.0076351,5.9952E-15,-0.0029726,0,0,0,0.032288,5.5219E-06,1.4324E-20,5.4317E-08,4.6642E-06,-1.2451E-21,5.6225E-06,0,0,0,0,0,0,package://astra_description/meshes/link_head_tilt.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://astra_description/meshes/link_head_tilt.STL,,Link_Head_Tilt^Astra-1,Head_Tilt_Cord,Joint_Head_Tilt,joint_head_tilt,revolute,0,0,0,1.5708,0,0,link_head_pan,0,0,1,0,0,-3.14,3.14,,,,,,,,
link_ree,-0.69352,0.24312,-0.44122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://astra_description/meshes/link_ree.STL,1,1,1,1,0,0,0,0,0,0,package://astra_description/meshes/link_ree.STL,,,EERCord,JointR7,joint_ree,fixed,0.063,0,0.195,1.5708,-1.5708,0,link_r6,0,0,0,,,,,,,,,,,,
link_lee,-0.69352,-0.44578,0.24312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://astra_description/meshes/link_lee.STL,1,1,1,1,0,0,0,0,0,0,package://astra_description/meshes/link_lee.STL,,,EELCord,JointL7,joint_lee,fixed,0.063,0,0.195,3.1416,-1.5708,0,link_l6,0,0,0,,,,,,,,,,,,
